Country,Year,Value
Finland,2015,40.6
Sweden,2015,47.6
Iceland,2015,28.2
Liechtenstein,2015,
Norway,2015,42.8
Switzerland,2015,52.7
United Kingdom,2015,
Bosnia and Herzegovina,2015,0.0
Montenegro,2015,
North Macedonia,2015,
Albania,2015,
Serbia,2015,0.8
Türkiye,2015,
Kosovo*,2015,
Belgium,2016,53.5
Bulgaria,2016,31.8
Czechia,2016,33.6
Denmark,2016,48.3
Germany,2016,67.1
Estonia,2016,27.9
Ireland,2016,40.7
Greece,2016,17.2
Spain,2016,33.9
France,2016,39.7
Croatia,2016,21.0
Italy,2016,45.9
Cyprus,2016,16.3
Latvia,2016,25.2
Lithuania,2016,48.0
Luxembourg,2016,49.2
Hungary,2016,34.7
Malta,2016,12.7
Netherlands,2016,53.5
Austria,2016,57.6
Poland,2016,34.8
Portugal,2016,30.9
Romania,2016,13.4
Slovenia,2016,55.5
Slovakia,2016,23.0
Finland,2016,42.1
Sweden,2016,48.4
Iceland,2016,33.2
Liechtenstein,2016,
Norway,2016,38.2
Switzerland,2016,52.5
United Kingdom,2016,
Bosnia and Herzegovina,2016,0.0
Montenegro,2016,
North Macedonia,2016,
Albania,2016,
Serbia,2016,0.3
Türkiye,2016,9.2
Kosovo*,2016,
Belgium,2017,53.9
Bulgaria,2017,34.6
Czechia,2017,32.1
Denmark,2017,47.6
Germany,2017,67.2
Estonia,2017,28.2
Ireland,2017,40.4
Greece,2017,18.9
Spain,2017,36.1
France,2017,40.2
Croatia,2017,23.6
Italy,2017,47.8
Cyprus,2017,16.5
Latvia,2017,24.8
Lithuania,2017,48.1
Luxembourg,2017,48.9
Hungary,2017,35.0
Malta,2017,11.5
Netherlands,2017,54.6
Austria,2017,57.8
Poland,2017,33.8
Portugal,2017,29.1
Romania,2017,14.0
Slovenia,2017,57.8
Slovakia,2017,29.8
Finland,2017,40.5
Sweden,2017,46.8
Iceland,2017,25.8
Liechtenstein,2017,
Norway,2017,38.8
Switzerland,2017,52.5
United Kingdom,2017,
Bosnia and Herzegovina,2017,0.0
Montenegro,2017,
North Macedonia,2017,
Albania,2017,
Serbia,2017,0.3
Türkiye,2017,9.2
Kosovo*,2017,
Belgium,2018,54.4
Bulgaria,2018,31.5
Czechia,2018,32.2
Denmark,2018,49.9
Germany,2018,67.1
Estonia,2018,28.0
Ireland,2018,37.7
Greece,2018,20.1
Spain,2018,34.8
France,2018,40.7
Croatia,2018,25.3
Italy,2018,49.8
Cyprus,2018,16.8
Latvia,2018,25.2
Lithuania,2018,52.6
Luxembourg,2018,49.0
Hungary,2018,37.4
Malta,2018,10.4
Netherlands,2018,55.9
Austria,2018,57.7
Poland,2018,34.3
Portugal,2018,29.1
Romania,2018,11.1
Slovenia,2018,58.9
Slovakia,2018,36.3
Finland,2018,42.3
Sweden,2018,45.8
Iceland,2018,27.5
Liechtenstein,2018,
Norway,2018,40.7
Switzerland,2018,52.5
United Kingdom,2018,
Bosnia and Herzegovina,2018,
Montenegro,2018,3.7
North Macedonia,2018,
Albania,2018,
Serbia,2018,0.3
Türkiye,2018,11.5
Kosovo*,2018,
Belgium,2019,54.7
Bulgaria,2019,34.6
Czechia,2019,33.3
Denmark,2019,51.5
Germany,2019,66.7
Estonia,2019,30.8
Ireland,2019,37.4
Greece,2019,21.0
Spain,2019,38.0
France,2019,41.0
Croatia,2019,30.2
Italy,2019,51.4
Cyprus,2019,16.9
Latvia,2019,41.0
Lithuania,2019,49.7
Luxembourg,2019,48.9
Hungary,2019,35.9
Malta,2019,9.1
Netherlands,2019,56.9
Austria,2019,58.2
Poland,2019,34.1
Portugal,2019,28.9
Romania,2019,11.5
Slovenia,2019,59.2
Slovakia,2019,38.5
Finland,2019,43.5
Sweden,2019,46.6
Iceland,2019,
Liechtenstein,2019,
Norway,2019,40.9
Switzerland,2019,53.0
United Kingdom,2019,
Bosnia and Herzegovina,2019,
Montenegro,2019,5.3
North Macedonia,2019,
Albania,2019,
Serbia,2019,
Türkiye,2019,11.5
Kosovo*,2019,
Belgium,2020,51.4
Bulgaria,2020,35.2
Czechia,2020,40.5
Denmark,2020,45.0
Germany,2020,70.3
Estonia,2020,28.9
Ireland,2020,40.8
Greece,2020,18.1
Spain,2020,40.4
France,2020,41.7
Croatia,2020,29.5
Italy,2020,51.4
Cyprus,2020,17.0
Latvia,2020,39.7
Lithuania,2020,45.3
Luxembourg,2020,52.8
Hungary,2020,32.0
Malta,2020,10.9
Netherlands,2020,57.0
Austria,2020,62.3
Poland,2020,38.7
Portugal,2020,26.8
Romania,2020,11.9
Slovenia,2020,59.3
Slovakia,2020,45.3
Finland,2020,42.1
Sweden,2020,38.3
Iceland,2020,26.2
Liechtenstein,2020,
Norway,2020,45.0
Switzerland,2020,52.8
United Kingdom,2020,
Bosnia and Herzegovina,2020,
Montenegro,2020,4.6
North Macedonia,2020,
Albania,2020,18.1
Serbia,2020,15.4
Türkiye,2020,12.3
Kosovo*,2020,0.0
Belgium,2021,55.5
Bulgaria,2021,28.2
Czechia,2021,43.3
Denmark,2021,57.6
Germany,2021,69.3
Estonia,2021,30.3
Ireland,2021,
Greece,2021,17.5
Spain,2021,43.7
France,2021,43.8
Croatia,2021,31.4
Italy,2021,51.9
Cyprus,2021,14.0
Latvia,2021,44.1
Lithuania,2021,44.3
Luxembourg,2021,55.3
Hungary,2021,34.9
Malta,2021,13.6
Netherlands,2021,57.8
Austria,2021,62.5
Poland,2021,40.3
Portugal,2021,30.4
Romania,2021,11.3
Slovenia,2021,60.8
Slovakia,2021,48.9
Finland,2021,39.0
Sweden,2021,39.5
Iceland,2021,26.4
Liechtenstein,2021,
Norway,2021,38.2
Switzerland,2021,52.3
United Kingdom,2021,
Bosnia and Herzegovina,2021,
Montenegro,2021,4.7
North Macedonia,2021,
Albania,2021,18.7
Serbia,2021,16.8
Türkiye,2021,12.3
Kosovo*,2021,2.5
Belgium,2022,54.7
Bulgaria,2022,24.6
Czechia,2022,
Denmark,2022,45.7
Germany,2022,69.2
Estonia,2022,33.2
Ireland,2022,
Greece,2022,17.3
Spain,2022,42.9
France,2022,41.2
Croatia,2022,34.2
Italy,2022,53.3
Cyprus,2022,14.8
Latvia,2022,50.8
Lithuania,2022,48.4
Luxembourg,2022,55.6
Hungary,2022,32.8
Malta,2022,12.5
Netherlands,2022,57.6
Austria,2022,62.6
Poland,2022,40.9
Portugal,2022,30.2
Romania,2022,12.3
Slovenia,2022,62.6
Slovakia,2022,49.5
Finland,2022,43.7
Sweden,2022,39.7
Iceland,2022,23.3
Liechtenstein,2022,
Norway,2022,41.2
Switzerland,2022,52.2
United Kingdom,2022,
Bosnia and Herzegovina,2022,0.8
Montenegro,2022,4.2
North Macedonia,2022,0.0
Albania,2022,18.9
Serbia,2022,17.6
Türkiye,2022,
Kosovo*,2022,2.6
